timestamp,cpu_utilization,ram_used_mb,gpu_utilization,vram_used_mb,gpu_power_watts,gpu_temp_c
1780763786.8773193,31.9,11700.2109375,14.0,3804.0,28.36,55.0
1780763787.9021356,12.0,11656.7265625,35.0,3866.0,30.49,56.0
1780763788.9296505,12.1,11634.875,94.0,3984.0,78.28,63.0
1780763789.972122,10.5,11610.8125,91.0,3984.0,77.57,61.0
1780763791.0012314,14.1,11705.23046875,91.0,3984.0,76.57,62.0
1780763792.0281324,12.0,11641.06640625,90.0,3974.0,78.29,63.0
1780763793.0569215,11.7,11651.22265625,92.0,3974.0,77.49,63.0
1780763794.082733,12.0,11697.51171875,80.0,3974.0,76.92,63.0
1780763795.1133792,8.0,11662.39453125,72.0,3974.0,77.36,64.0
1780763796.1397195,6.2,11639.140625,92.0,3974.0,77.56,64.0
1780763797.1652155,6.0,11602.94921875,92.0,3974.0,78.27,64.0
1780763798.1891198,5.9,11578.91796875,93.0,3974.0,78.43,64.0
1780763799.2121046,7.7,11451.3125,71.0,3974.0,76.38,66.0
1780763800.2474284,7.3,11524.28515625,91.0,3974.0,77.12,64.0
1780763801.277105,5.9,11479.1640625,92.0,3974.0,77.1,65.0
1780763802.3021176,9.3,11519.65234375,91.0,3974.0,78.29,65.0
1780763803.3275356,11.1,11516.65234375,90.0,3974.0,76.39,65.0
1780763804.3551068,10.9,11518.3828125,75.0,3974.0,78.95,68.0
1780763805.37811,6.1,11530.03125,93.0,3974.0,77.54,66.0
1780763806.4077497,6.1,11527.05078125,93.0,3974.0,77.67,66.0
1780763807.4321072,6.0,11454.1953125,92.0,3974.0,78.37,66.0
1780763808.4575713,6.0,11451.46484375,73.0,3974.0,77.38,64.0
1780763809.4821055,5.5,11518.671875,96.0,3974.0,78.36,68.0
1780763810.507765,5.4,11499.37109375,93.0,3974.0,78.76,67.0
1780763811.5461106,5.7,11494.7421875,92.0,3974.0,78.23,67.0
1780763812.5711055,5.6,11501.90234375,82.0,3974.0,77.44,67.0
1780763813.5958514,6.7,11490.39453125,35.0,3974.0,75.21,69.0
1780763814.6241455,7.8,11484.94140625,90.0,3974.0,78.54,66.0
1780763815.655986,7.5,11474.55859375,92.0,3974.0,77.13,67.0
1780763816.686104,5.8,11477.46484375,92.0,3974.0,78.43,67.0
1780763817.7117002,7.6,11436.578125,92.0,3974.0,78.18,71.0
1780763818.7362347,6.2,11454.6953125,96.0,3974.0,76.59,69.0
1780763819.7611778,5.4,11480.078125,93.0,3974.0,78.85,67.0
1780763820.7910802,6.8,11513.953125,92.0,3974.0,77.57,68.0
1780763821.816108,5.7,11506.12109375,92.0,3974.0,78.15,68.0
1780763822.8404884,6.4,11502.3828125,75.0,3974.0,77.64,67.0
1780763823.866393,5.8,11494.65625,95.0,3974.0,78.0,70.0
1780763824.8925056,5.5,11540.73828125,94.0,3974.0,77.62,68.0
1780763825.928116,7.8,11533.62109375,93.0,3974.0,78.24,68.0
1780763826.9526098,5.8,11520.5234375,79.0,3974.0,77.1,68.0
1780763827.977067,6.0,11500.9765625,74.0,3974.0,78.4,69.0
1780763829.0031168,5.6,11498.859375,94.0,3974.0,77.37,68.0
1780763830.0391073,5.7,11493.53125,92.0,3974.0,77.81,68.0
1780763831.0647378,5.9,11520.859375,92.0,3974.0,78.24,68.0
1780763832.0901246,5.9,11550.74609375,88.0,3974.0,77.78,68.0
1780763833.115333,5.6,11549.3125,73.0,3974.0,77.81,67.0
1780763834.1431046,5.7,11594.546875,93.0,3974.0,77.63,68.0
1780763835.167115,6.0,11577.0,92.0,3974.0,77.17,68.0
1780763836.190936,5.7,11561.56640625,92.0,3974.0,77.86,68.0
1780763837.2161052,5.7,11569.59375,92.0,3974.0,75.84,68.0
1780763838.238451,6.0,11550.43359375,68.0,3974.0,77.68,71.0
1780763839.2736595,5.9,11529.94921875,95.0,3974.0,77.66,68.0
1780763840.2991188,5.5,11531.52734375,93.0,3974.0,77.6,68.0
1780763841.32473,7.7,11485.2890625,91.0,3974.0,77.46,68.0
1780763842.3514383,6.2,11491.65234375,75.0,3974.0,77.0,67.0
1780763843.383893,7.1,11509.6484375,76.0,3974.0,79.61,72.0
1780763844.4154086,6.1,11516.65625,94.0,3974.0,77.62,67.0
1780763845.4394984,6.5,11483.27734375,92.0,3974.0,77.98,68.0
1780763846.4654644,5.9,11487.3359375,92.0,3974.0,78.19,67.0
1780763847.4916544,6.0,11495.765625,79.0,3974.0,77.11,69.0
1780763848.5217307,5.8,11527.34765625,74.0,3974.0,78.52,67.0
1780763849.5471172,8.4,11513.58984375,92.0,3974.0,77.21,67.0
1780763850.5724487,5.7,11484.36328125,93.0,3974.0,78.22,67.0
1780763851.596648,6.0,11439.79296875,92.0,3974.0,78.63,66.0
1780763852.6189606,6.3,11472.89453125,76.0,3974.0,77.04,69.0
1780763853.6551068,9.2,11507.69140625,93.0,3974.0,77.0,66.0
1780763854.6800637,5.9,11510.96484375,92.0,3974.0,77.45,67.0
1780763855.7055852,5.8,11465.88671875,92.0,3974.0,78.14,67.0
1780763856.7301164,6.2,11485.87109375,94.0,3974.0,77.86,64.0
1780763857.7551084,9.8,11476.37890625,94.0,3986.0,77.79,68.0
1780763858.7961113,8.2,11441.2109375,92.0,3986.0,78.68,67.0
1780763859.8301194,7.7,11481.25,91.0,3986.0,78.33,67.0
1780763860.8575277,9.1,11435.421875,91.0,3986.0,78.1,67.0
1780763861.8851266,8.9,11464.02734375,90.0,3986.0,78.09,67.0
1780763862.9136016,8.3,11428.9609375,68.0,3986.0,76.45,69.0
1780763863.9414659,10.8,11465.65625,92.0,3986.0,77.08,66.0
1780763864.9691122,14.1,11475.828125,91.0,3986.0,77.34,66.0
1780763865.9994297,13.3,11539.94921875,90.0,3986.0,77.33,67.0
1780763867.0344307,12.5,11564.62890625,92.0,3986.0,78.36,67.0
1780763868.0601108,12.1,11580.546875,68.0,3986.0,76.42,66.0
1780763869.0855339,8.1,11608.32421875,74.0,3986.0,79.23,69.0
1780763870.1108081,7.5,11613.34765625,94.0,3986.0,77.46,66.0
1780763871.1361094,7.3,11618.1953125,90.0,3986.0,77.83,66.0
1780763872.1760776,8.9,11590.79296875,93.0,3986.0,78.33,66.0
1780763873.2004435,6.6,11627.46875,70.0,3986.0,76.44,68.0
1780763874.2241068,5.4,11637.7265625,84.0,3986.0,79.71,66.0
1780763875.2478955,5.5,11652.625,93.0,3986.0,77.18,66.0
1780763876.2731342,5.5,11635.0234375,93.0,3986.0,78.24,66.0
1780763877.3041155,5.8,11661.2421875,91.0,3986.0,78.41,70.0
1780763878.3282626,5.3,11681.8359375,73.0,3986.0,77.62,66.0
1780763879.3533425,5.7,11653.04296875,93.0,3986.0,77.33,66.0
1780763880.3771172,5.5,11611.8359375,92.0,3986.0,77.9,66.0
1780763881.4131098,5.6,11649.90234375,93.0,3986.0,78.37,64.0
1780763882.439105,5.6,11661.5703125,94.0,3986.0,78.3,68.0
1780763883.4641106,6.8,11668.87890625,90.0,3986.0,78.15,66.0
1780763884.4901063,7.0,11680.76953125,92.0,3986.0,78.08,66.0
1780763885.5191183,6.3,11647.65234375,93.0,3986.0,78.37,66.0
1780763886.545106,7.5,11641.9140625,74.0,3986.0,77.74,65.0
1780763887.5683436,9.6,11656.6796875,95.0,3986.0,77.92,68.0
1780763888.5929265,6.2,11626.41015625,91.0,3986.0,78.35,66.0
1780763889.6202846,5.7,11593.91796875,92.0,3986.0,78.48,66.0
1780763890.6591136,5.8,11631.6796875,82.0,3986.0,77.27,66.0
1780763891.683107,5.5,11677.5390625,78.0,3986.0,78.66,69.0
1780763892.70912,5.5,11622.9765625,94.0,3986.0,77.58,66.0
1780763893.7344103,5.5,11633.55859375,92.0,3986.0,78.13,66.0
1780763894.7641263,5.5,11624.02734375,92.0,3986.0,78.09,66.0
1780763895.78813,5.8,11609.16015625,68.0,3986.0,76.0,66.0
1780763896.8098578,5.3,11604.59765625,77.0,3986.0,79.56,65.0
1780763897.8352025,5.6,11611.90625,93.0,3986.0,77.37,66.0
1780763898.8611064,5.5,11627.60546875,92.0,3986.0,78.35,66.0
1780763899.8961074,5.7,11600.90625,92.0,3986.0,78.09,68.0
1780763900.9181383,5.4,11598.50390625,70.0,3986.0,77.56,66.0
1780763901.944111,8.3,11562.55859375,92.0,3986.0,77.43,66.0
1780763902.969099,7.6,11573.23828125,92.0,3986.0,77.46,66.0
1780763903.997108,8.0,11596.20703125,93.0,3986.0,78.51,66.0
1780763905.0341046,7.3,11592.203125,69.0,3986.0,77.63,65.0
1780763906.0591116,6.3,11589.8359375,94.0,3986.0,77.41,68.0
1780763907.0861096,7.3,11589.875,92.0,3986.0,78.24,65.0
1780763908.1111205,6.8,11597.21484375,93.0,3986.0,78.09,66.0
1780763909.1381152,6.0,11602.6875,93.0,3986.0,78.38,66.0
1780763910.1676922,8.0,11597.5390625,69.0,3986.0,77.23,63.0
1780763911.1902692,7.9,11604.4453125,88.0,3986.0,78.41,67.0
1780763912.2171116,6.1,11611.51953125,92.0,3986.0,78.41,66.0
1780763913.2431266,6.3,11589.9296875,92.0,3986.0,78.32,66.0
1780763914.2725163,11.3,11438.54296875,91.0,3986.0,77.89,66.0
1780763915.3043633,8.8,11438.73828125,68.0,3984.0,76.88,68.0
1780763916.3301103,7.6,11451.00390625,84.0,3984.0,78.39,65.0
1780763917.3571181,5.7,11440.77734375,93.0,3984.0,78.0,65.0
1780763918.3830218,6.3,11488.65625,93.0,3984.0,78.25,66.0
1780763919.4111047,8.2,11449.64453125,93.0,3984.0,78.31,68.0
1780763920.4391465,5.6,11440.44921875,93.0,3984.0,77.54,66.0
1780763921.4667616,5.4,11459.0625,92.0,3984.0,77.66,65.0
1780763922.4929864,5.5,11479.7890625,92.0,3984.0,78.2,66.0
1780763923.5191095,5.7,11478.03125,93.0,3984.0,78.44,65.0
1780763924.5441103,5.8,11507.09765625,86.0,3984.0,79.5,67.0
1780763925.5706453,5.7,11512.8046875,92.0,3984.0,77.92,65.0
1780763926.5964324,5.5,11470.9140625,93.0,3984.0,78.19,65.0
1780763927.6212385,5.6,11461.640625,93.0,3984.0,77.92,66.0
1780763928.6471066,5.8,11473.9765625,71.0,3984.0,77.3,63.0
1780763929.681119,5.6,11452.24609375,95.0,3984.0,77.99,67.0
1780763930.7063305,5.4,11485.3203125,93.0,3984.0,78.58,65.0
1780763931.7320368,5.5,11470.703125,93.0,3984.0,78.48,66.0
1780763932.7561255,5.5,11457.859375,92.0,3984.0,76.94,66.0
1780763933.7885914,5.8,11494.296875,68.0,3984.0,76.79,64.0
1780763934.8121068,5.5,11487.125,73.0,3984.0,76.88,65.0
1780763935.8373523,5.3,11470.578125,92.0,3984.0,77.53,65.0
1780763936.862949,5.8,11494.265625,92.0,3984.0,77.86,66.0
1780763937.888111,5.4,11495.91796875,92.0,3984.0,78.15,64.0
1780763938.921105,5.9,11482.9296875,78.0,3984.0,77.03,66.0
1780763939.945106,5.4,11476.69140625,93.0,3984.0,77.35,65.0
1780763940.9724376,5.5,11474.28515625,93.0,3984.0,77.32,65.0
1780763941.9981391,7.5,11473.75,89.0,3984.0,77.92,66.0
1780763943.0381062,5.7,11415.41015625,73.0,3984.0,77.02,63.0
1780763944.0619323,5.7,11515.2890625,95.0,3984.0,78.84,67.0
1780763945.0867817,5.4,11467.7421875,93.0,3984.0,78.58,65.0
1780763946.1121259,5.6,11496.81640625,92.0,3984.0,77.2,65.0
1780763947.139114,5.6,11523.171875,78.0,3984.0,77.52,65.0
1780763948.163105,5.9,11483.50390625,66.0,3984.0,78.18,67.0
1780763949.185591,5.4,11498.54296875,95.0,3984.0,77.28,68.0
1780763950.2111058,5.5,11475.73046875,92.0,3984.0,77.9,65.0
1780763951.2374532,5.7,11419.07421875,92.0,3984.0,78.56,65.0
1780763952.2651093,5.8,11469.1875,73.0,3984.0,76.84,65.0
1780763953.297368,5.7,11502.44140625,78.0,3984.0,79.39,65.0
1780763954.3231091,5.5,11474.11328125,94.0,3984.0,77.52,65.0
1780763955.348965,5.4,11484.26171875,92.0,3984.0,76.33,66.0
1780763956.3741078,5.5,11480.73828125,92.0,3984.0,78.53,65.0
1780763957.405108,5.8,11496.078125,92.0,3984.0,78.04,66.0
1780763958.42777,5.4,11466.6875,68.0,3984.0,77.4,67.0
1780763959.4537761,5.6,11470.3359375,93.0,3984.0,77.94,65.0
1780763960.4793406,5.8,11454.02734375,93.0,3984.0,77.06,65.0
1780763961.505115,5.6,11507.03125,92.0,3984.0,78.27,65.0
1780763962.538118,5.4,11560.82421875,67.0,3984.0,75.06,65.0
1780763963.5611265,6.0,11362.4921875,82.0,3984.0,79.04,67.0
1780763964.586105,5.6,11343.578125,95.0,3984.0,76.37,67.0
1780763965.6111166,6.0,11360.5234375,93.0,3984.0,79.19,64.0
1780763966.6448207,6.1,11380.58984375,92.0,3984.0,78.34,65.0
1780763967.66913,5.8,11366.7421875,79.0,3984.0,77.22,65.0
1780763968.6938214,5.5,11366.14453125,69.0,3984.0,78.46,65.0
1780763969.718119,8.0,11340.57421875,93.0,3984.0,77.69,65.0
1780763970.7485173,5.7,11334.74609375,93.0,3984.0,78.37,65.0
1780763971.775722,5.5,11311.08203125,93.0,3984.0,76.56,65.0
1780763972.8021066,5.7,11309.17578125,86.0,3984.0,77.75,68.0
1780763973.8266516,5.9,11344.04296875,71.0,3984.0,77.87,65.0
1780763974.8537943,5.6,11348.25390625,91.0,3984.0,77.68,65.0
1780763975.894109,5.7,11385.19921875,92.0,3984.0,78.41,65.0
1780763976.9191098,6.0,11421.62109375,91.0,3984.0,78.16,62.0
1780763977.9426672,5.4,11392.28515625,94.0,3984.0,77.62,67.0
1780763978.9681165,6.7,11389.20703125,92.0,3984.0,78.02,65.0
1780763980.0058246,6.2,11382.1015625,93.0,3984.0,77.99,65.0
1780763981.0319052,5.6,11377.953125,92.0,3984.0,77.95,65.0
1780763982.0561237,5.6,11364.80859375,77.0,3984.0,78.36,68.0
1780763983.0811205,5.5,11391.87890625,93.0,3984.0,77.44,65.0
1780763984.1071122,5.6,11347.296875,93.0,3984.0,77.6,65.0
1780763985.1441057,5.6,11334.1328125,92.0,3984.0,78.42,65.0
1780763986.1671088,5.9,11325.30859375,68.0,3984.0,77.02,63.0
1780763987.192107,5.6,11312.08203125,92.0,3984.0,78.0,64.0
1780763988.2184458,5.6,11377.1015625,94.0,3984.0,76.91,65.0
1780763989.2441149,5.5,11352.4140625,92.0,3984.0,78.21,64.0
1780763990.2781272,5.7,11339.8984375,93.0,3984.0,78.56,65.0
1780763991.3041096,5.8,11336.8828125,76.0,3984.0,78.12,65.0
1780763992.3291056,5.6,11327.90234375,95.0,3984.0,77.13,65.0
1780763993.3541086,5.4,11349.7890625,92.0,3984.0,77.94,65.0
1780763994.3863351,5.6,11357.78515625,91.0,3984.0,78.39,65.0
1780763995.413107,5.4,11400.84765625,91.0,3984.0,77.1,62.0
1780763996.4381988,5.6,11396.88671875,96.0,3984.0,78.2,67.0
1780763997.4641082,5.5,11379.4765625,93.0,3984.0,77.23,64.0
1780763998.4917564,5.4,11409.921875,92.0,3984.0,76.88,65.0
1780763999.5211096,7.5,11361.6875,92.0,3984.0,77.91,65.0
1780764000.5471127,5.6,11383.04296875,68.0,3984.0,76.56,64.0
1780764001.5714257,5.6,11335.6953125,90.0,3984.0,79.57,67.0
1780764002.5972123,5.5,11371.9140625,94.0,3984.0,78.26,65.0
1780764003.6278386,5.6,11323.94140625,93.0,3984.0,78.34,65.0
1780764004.6551077,5.7,11327.69140625,90.0,3984.0,78.0,65.0
1780764005.678582,5.5,11382.0390625,71.0,3984.0,77.33,62.0
1780764006.703649,5.5,11339.28515625,95.0,3984.0,77.54,64.0
1780764007.7291062,5.4,11350.33203125,92.0,3984.0,77.53,65.0
1780764008.7711625,5.5,11353.76171875,92.0,3984.0,78.11,65.0
1780764009.796461,5.6,11398.12109375,91.0,3984.0,77.93,67.0
1780764010.8200762,5.5,11404.74609375,70.0,3984.0,77.6,64.0
1780764011.8462675,5.4,11324.59375,92.0,3984.0,77.61,64.0
1780764012.8791075,5.6,11332.8515625,92.0,3984.0,78.07,65.0
1780764013.9102788,5.3,11342.2734375,91.0,3984.0,77.86,65.0
1780764014.9363427,5.6,11363.16015625,69.0,3984.0,77.53,62.0
1780764015.961269,5.4,11394.83203125,73.0,3984.0,76.14,68.0
1780764016.9921737,5.4,11399.5234375,94.0,3984.0,77.1,65.0
1780764018.0231094,5.5,11374.1328125,93.0,3984.0,77.35,65.0
1780764019.048507,5.3,11363.8203125,92.0,3984.0,78.61,65.0
